CTRL	R841X
539.808	853.536
193.379	814.968
596.847	524.614
522.695	808.151
361.855	450.771
594.216	390.667
279.926	652.395
255.388	392.479
437.783	946.252
521.165	400.003
580.696	398.244
386.257	204.226
317.719	1120.901
383.766	639.878
286.449	1100.741
1094.164	677.463
438.441	530.522
403.383	1129.568
680.157	961.421
1086.225	808.898
710.268	986.986
704.472	934.905
749.469	558.393
755.335	878.293
553.937	1109.753
430.204	1091.635
1032.798	695.116
717.558	518.639
607.575	542.937
376.089	302.523
1782.19	1713.349
646.275	1427.908
873.559	2278.056
640.498	1540.037
616.61	308.652
589.899	500.906
566.426	624.57
418.145	789.581
809.731	475.804
1020.477	457.134
828.671	1245.079
558.949	471.151
539.401	1750.561
402.634	1377.155
	489.071
	507.992
	1504.845
	
