CTRL-KCl	CTRL-NaCl	R841X-KCl	R841X-NaCl
1.119065	1.150796	1.206818	1.045235
1.214336	1.116851	1.11646	1.068996
0.9848349	0.9685854	0.8860393	1.332332
1.001662	1.012062	1.340257	0.9145499
0.9892232	1.075093	1.236953	1.073848
1.135238	1.020856	1.183145	1.3181
1.255209	0.9722096	1.153252	1.324268
1.239632	0.9442945	1.127237	1.081152
1.203546	1.276083	0.866664	0.8644491
1.031758	0.535234	0.8467569	0.9415494
1.413916	0.7819296	0.881466	1.305891
1.959716	0.8282312	0.617977	0.7139854
0.7703415	0.8697243	0.8814459	1.095853
1.147459	1.034864	1.142719	1.068431
1.237592	1.180127	1.46421	0.9767573
0.9767273	1.190666	1.110573	1.357543
1.23892	0.9691501	1.292391	1.057538
1.41843	0.968655	1.101632	1.064376
1.18043	1.04981	0.91809	0.9985826
1.112703	0.9519725	0.9601051	0.9099374
1.138191	0.9382466	0.9853078	1.032568
1.148118	0.7929203	1.21413	0.9696786
1.344855	1.328296	1.116571	
1.06537		1.025718	
1.033423		0.8386442	
1.0587		1.209691	
1.042481		0.9973404	
1.150407		0.7912555	
1.271441		1.091245	
1.301958		0.7323203	
1.167947		0.975796	
1.633665		1.314579	
		0.9673257	
1.428115		0.9648218	
1.504161		1.223145	
		1.039876	
		0.951272	
		1.151686	
