wellID	ind_type	Measurement
1	CTRL	-8.312
1	CTRL	-7.375
1	CTRL	-7.937
1	CTRL	-7.25
1	CTRL	-8.125
1	MUT	-27.938
1	MUT	-13.688
1	MUT	-8.062
1	MUT	-8.187
1	MUT	-9.312
2	CTRL	-7.75
2	CTRL	-6.938
2	CTRL	-7.313
2	CTRL	-11.188
2	CTRL	-8.562
2	MUT	-12.813
2	MUT	-11.25
2	MUT	-10
2	MUT	-15.625
2	MUT	-10.875
3	CTRL	-9.812
3	CTRL	-8.75
3	CTRL	-9
3	CTRL	-8.687
3	CTRL	-7.375
3	MUT	-9.25
3	MUT	-24.063
3	MUT	-15.063
3	MUT	-11.813
3	MUT	-7.937
4	CTRL	0.166666667
4	CTRL	0.444444444
4	CTRL	0.48
4	MUT	-10.625
4	MUT	-7.063
4	MUT	-8.437
5	CTRL	-15.688
5	CTRL	-8.062
5	CTRL	-7.063
5	CTRL	-7.563
5	CTRL	-11.563
5	MUT	-9.937
5	MUT	-11.875
5	MUT	-12.5
5	MUT	-8.375
5	MUT	-8
6	CTRL	-11.563
6	CTRL	-8.437
6	CTRL	-15.188
6	MUT	-14.813
6	MUT	-7
6	MUT	-20.688
7	CTRL	-7.188
7	CTRL	-30.125
7	CTRL	-8.25
7	CTRL	-7.375
7	MUT	-16
7	MUT	-8.062
7	MUT	-18.625
7	MUT	-14.438
8	CTRL	-9.187
8	CTRL	-8.562
8	CTRL	-6.688
8	CTRL	-7.188
8	MUT	-12.063
8	MUT	-8.375
8	MUT	-9.625
8	MUT	-9.625
9	CTRL	-13.188
9	CTRL	-13
9	CTRL	-11.5
9	CTRL	-8.625
9	MUT	-17.875
9	MUT	-9.625
9	MUT	-7.375
9	MUT	-13.938
10	CTRL	-7.687
10	CTRL	-7.812
10	CTRL	-7.438
10	CTRL	-8.75
10	MUT	-9
10	MUT	-10.313
10	MUT	-13.563
10	MUT	-7.375
11	CTRL	-13.5
11	CTRL	-8.062
11	CTRL	-8.625
11	CTRL	-9.25
11	MUT	-11.375
11	MUT	-16
11	MUT	-10.125
11	MUT	-9.625
12	CTRL	-7
12	CTRL	-5.563
12	CTRL	-8.375
12	CTRL	-8.625
12	MUT	-9.312
12	MUT	-13.313
12	MUT	-6.875
12	MUT	-8.187
