wellID	ind_type	Measurement
1	CTRL	58
1	CTRL	32
1	CTRL	45
1	CTRL	23
1	CTRL	22
1	CTRL	51
1	CTRL	55
1	MUT	80
1	MUT	66
1	MUT	83
1	MUT	46
1	MUT	95
1	MUT	85
1	MUT	51
1	MUT	90
2	CTRL	40
2	CTRL	110
2	CTRL	31
2	CTRL	41
2	CTRL	57
2	CTRL	102
2	MUT	65
2	MUT	100
2	MUT	67
2	MUT	80
2	MUT	42
2	MUT	39
2	MUT	34
2	MUT	45
3	CTRL	57
3	CTRL	30
3	CTRL	29
3	CTRL	19
3	CTRL	36
3	CTRL	28
3	MUT	38
3	MUT	76
3	MUT	12
3	MUT	76
3	MUT	40
4	CTRL	26
4	CTRL	12
4	CTRL	7
4	CTRL	19
4	CTRL	3
4	CTRL	26
4	MUT	27
4	MUT	49
4	MUT	17
4	MUT	40
5	CTRL	22
5	CTRL	35
5	CTRL	37
5	CTRL	20
5	MUT	35
5	MUT	72
5	MUT	60
5	MUT	42
5	MUT	213
5	MUT	26
5	MUT	38
5	MUT	32
6	CTRL	17
6	CTRL	7
6	CTRL	26
6	CTRL	6
6	MUT	53
6	MUT	26
6	MUT	22
6	MUT	25
6	MUT	19
6	MUT	47
6	MUT	139
