wellID	ind_type	Measurement
1	CTRL	0.086666667
1	CTRL	0.473333333
1	CTRL	0.453333333
1	CTRL	0.246666667
1	CTRL	0.34
1	MUT	1.066666667
1	MUT	0.98
1	MUT	0.253333333
1	MUT	0.153333333
1	MUT	0.346666667
2	CTRL	0.053333333
2	CTRL	0.073333333
2	CTRL	0.166666667
2	CTRL	0.266666667
2	CTRL	0.293333333
2	MUT	0.5
2	MUT	0.013333333
2	MUT	0.246666667
2	MUT	1.72
2	MUT	0.413333333
3	CTRL	0.22
3	CTRL	0.033333333
3	CTRL	0.72
3	CTRL	0.646666667
3	CTRL	0.293333333
3	MUT	0.286666667
3	MUT	0.233333333
3	MUT	1.993333333
3	MUT	1.08
3	MUT	0.466666667
4	CTRL	0.166666667
4	CTRL	0.444444444
4	CTRL	0.48
4	MUT	2.373333333
4	MUT	0.353333333
4	MUT	0.72
5	CTRL	0.22
5	CTRL	0.28
5	CTRL	0.162162162
5	CTRL	0.053333333
5	CTRL	0.126666667
5	MUT	0.48
5	MUT	2.793333333
5	MUT	0.96
5	MUT	0.14
5	MUT	0.146666667
6	CTRL	0.013333333
6	CTRL	0.046666667
6	CTRL	0.44
6	MUT	0.346666667
6	MUT	0.133333333
6	MUT	0.84
7	CTRL	0.286666667
7	CTRL	0.12
7	CTRL	0.073333333
7	CTRL	0.146666667
7	MUT	4.286666667
7	MUT	0.1
7	MUT	1.153333333
7	MUT	0.153333333
8	CTRL	0.466666667
8	CTRL	0.086666667
8	CTRL	0.06
8	CTRL	0.16
8	MUT	0.326666667
8	MUT	0.266666667
8	MUT	0.626666667
8	MUT	0.42
9	CTRL	3.546666667
9	CTRL	1.673333333
9	CTRL	0.113333333
9	CTRL	0.08
9	MUT	1.926666667
9	MUT	1.046666667
9	MUT	0.093333333
9	MUT	0.586666667
10	CTRL	0.106666667
10	CTRL	0.093333333
10	CTRL	0.093333333
10	CTRL	0.426666667
10	MUT	0.433333333
10	MUT	0.353333333
10	MUT	1.786666667
10	MUT	0.026666667
11	CTRL	2.593333333
11	CTRL	0.586666667
11	CTRL	0.533333333
11	CTRL	0.826666667
11	MUT	1.713333333
11	MUT	1.326666667
11	MUT	0.933333333
11	MUT	0.74
12	CTRL	0.42
12	CTRL	0.066666667
12	CTRL	0.853333333
12	CTRL	0.16
12	MUT	0.593333333
12	MUT	0.853333333
12	MUT	0.273333333
12	MUT	0.406666667
