wellID	ind_type	Measurement
1	CTRL	636.476863
1	CTRL	649.418999
1	CTRL	805.875019
1	CTRL	346.822372
1	CTRL	1405.08444
1	CTRL	634.365175
1	CTRL	1211.26391
1	CTRL	878.175943
1	CTRL	355.729183
1	CTRL	452.19663
1	CTRL	946.8768678
1	MUT	557.015304
1	MUT	1309.89705
1	MUT	855.306967
1	MUT	915.405208
1	MUT	344.348865
1	MUT	949.642727
2	CTRL	611.074179
2	CTRL	1261.21479
2	CTRL	593.782837
2	CTRL	432.285951
2	CTRL	529.709329
2	CTRL	1003.23061
2	CTRL	232.2997435
2	CTRL	658.975103
2	CTRL	485.338939
2	MUT	1859.72294
2	MUT	1660.57038
2	MUT	939.987546
2	MUT	728.71522
2	MUT	951.144487
2	MUT	1009.76299
2	MUT	1608.78721
2	MUT	1275.62859
2	MUT	748.519924
2	MUT	690.658365
2	MUT	961.280562
3	CTRL	414.821189
3	CTRL	294.126325
3	CTRL	494.310339
3	CTRL	374.276196
3	CTRL	576.845578
3	CTRL	205.846929
3	CTRL	827.044572
3	MUT	845.317068
3	MUT	825.617992
3	MUT	880.441542
3	MUT	1282.15811
3	MUT	487.323124
