wellID	ind_type	Measurement
1	CTRL	21
1	CTRL	18
1	CTRL	17
1	CTRL	7
1	CTRL	66
1	CTRL	33
1	CTRL	38
1	CTRL	42
1	CTRL	46
1	CTRL	29
1	CTRL	95
1	MUT	30
1	MUT	72
1	MUT	103
1	MUT	41
1	MUT	28
1	MUT	13
2	CTRL	14
2	CTRL	139
2	CTRL	67
2	CTRL	18
2	CTRL	43
2	CTRL	84
2	CTRL	9
2	CTRL	30
2	CTRL	6
2	MUT	74
2	MUT	89
2	MUT	18
2	MUT	29
2	MUT	127
2	MUT	39
2	MUT	74
2	MUT	28
2	MUT	36
2	MUT	62
2	MUT	60
3	CTRL	14
3	CTRL	14
3	CTRL	10
3	CTRL	6
3	CTRL	26
3	CTRL	21
3	CTRL	10
3	MUT	36
3	MUT	13
3	MUT	35
3	MUT	31
3	MUT	21
