"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement"
"42","1","DMSO","1","12","MKO2",1162.64744647835
"43","1","DMSO","1","2","MKO2",190.241472741036
"44","1","DMSO","1","3","MKO2",112.69356539171
"45","1","DMSO","1","5","MKO2",992.433487806675
"46","1","DMSO","1","8","MKO2",326.890157106159
"36","1","DMSO","1","2","GFP",598.484093037109
"37","1","DMSO","1","3","GFP",84.8229831801478
"38","1","DMSO","1","4","GFP",407.402388733486
"39","1","DMSO","1","5","GFP",108.361157822448
"40","1","DMSO","1","6","GFP",846.410462361941
"41","1","DMSO","1","8","GFP",176.965667881676
"1","1","DMSO","2","14","MKO2",559.199831839258
"49","1","DMSO","2","10","MKO2",541.602458883382
"50","1","DMSO","2","12","MKO2",867.764605482189
"51","1","DMSO","2","16","MKO2",666.189740025947
"52","1","DMSO","2","4","MKO2",380.056486800415
"53","1","DMSO","2","5","MKO2",503.42488119832
"54","1","DMSO","2","8","MKO2",710.698909840622
"55","1","DMSO","2","9","MKO2",304.350915142098
"2","1","DMSO","2","7","GFP",769.438195560368
"47","1","DMSO","2","2","GFP",228.352768719097
"48","1","DMSO","2","6","GFP",321.832910479728
"3","1","DMSO","3","25","MKO2",180.391560247404
"4","1","DMSO","3","7","MKO2",211.160184893688
"64","1","DMSO","3","13","MKO2",494.704612361019
"65","1","DMSO","3","16","MKO2",749.165905343423
"66","1","DMSO","3","19","MKO2",415.309880790178
"67","1","DMSO","3","22","MKO2",606.071542970309
"68","1","DMSO","3","23","MKO2",536.689917336849
"69","1","DMSO","3","24","MKO2",242.769040392903
"70","1","DMSO","3","6","MKO2",540.651314351134
"71","1","DMSO","3","8","MKO2",319.692187673265
"5","1","DMSO","3","20","GFP",248.449733416389
"6","1","DMSO","3","24","GFP",173.124141165896
"7","1","DMSO","3","16","GFP",282.139370063415
"8","1","DMSO","3","17","GFP",360.869196895219
"9","1","DMSO","3","1","GFP",174.219985192689
"10","1","DMSO","3","13","GFP",201.094802483577
"11","1","DMSO","3","14","GFP",316.460106081244
"56","1","DMSO","3","15","GFP",550.278102030125
"57","1","DMSO","3","2","GFP",147.252746556459
"58","1","DMSO","3","21","GFP",481.001029995334
"59","1","DMSO","3","23","GFP",540.948381194584
"60","1","DMSO","3","4","GFP",462.426370657479
"61","1","DMSO","3","5","GFP",379.551600793252
"62","1","DMSO","3","7","GFP",472.737851238837
"63","1","DMSO","3","8","GFP",629.81304710319
"12","1","DMSO","4","12","MKO2",516.306705987644
"13","1","DMSO","4","13","MKO2",449.202844230321
"14","1","DMSO","4","6","MKO2",408.105567252041
"15","1","DMSO","4","7","MKO2",384.34426482653
"77","1","DMSO","4","1","MKO2",298.250110146868
"78","1","DMSO","4","15","MKO2",912.269291488106
"79","1","DMSO","4","17","MKO2",931.73066145495
"80","1","DMSO","4","2","MKO2",991.243907277654
"81","1","DMSO","4","4","MKO2",581.797706994156
"16","1","DMSO","4","3","GFP",207.623383259373
"17","1","DMSO","4","4","GFP",128.938178338744
"18","1","DMSO","4","5","GFP",155.274315695596
"19","1","DMSO","4","6","GFP",250.969114378446
"20","1","DMSO","4","7","GFP",314.799445311239
"72","1","DMSO","4","10","GFP",426.281776514209
"73","1","DMSO","4","12","GFP",873.582337002203
"74","1","DMSO","4","13","GFP",491.854366930758
"75","1","DMSO","4","15","GFP",438.974275946116
"76","1","DMSO","4","9","GFP",625.537413360202
"21","1","DMSO","5","3","MKO2",658.197481345284
"22","1","DMSO","5","7","MKO2",273.92398322567
"86","1","DMSO","5","10","MKO2",563.769378784241
"87","1","DMSO","5","11","MKO2",452.179309334912
"88","1","DMSO","5","12","MKO2",646.337556128974
"89","1","DMSO","5","4","MKO2",678.536068300443
"90","1","DMSO","5","8","MKO2",303.938456226517
"91","1","DMSO","5","9","MKO2",366.226689088084
"23","1","DMSO","5","3","GFP",363.242566586146
"24","1","DMSO","5","7a","GFP",237.834843155809
"25","1","DMSO","5","7b","GFP",151.372852053956
"82","1","DMSO","5","1","GFP",253.065208104075
"83","1","DMSO","5","2","GFP",359.511949010597
"84","1","DMSO","5","5","GFP",299.806210550909
"85","1","DMSO","5","8","GFP",91.1469200508219
"26","1","DMSO","6","11","MKO2",681.66805981111
"27","1","DMSO","6","2","MKO2",445.56913388039
"28","1","DMSO","6","6","MKO2",1384.92104977652
"94","1","DMSO","6","1","MKO2",488.707054782661
"95","1","DMSO","6","10","MKO2",772.964161723992
"96","1","DMSO","6","4","MKO2",459.257402492941
"97","1","DMSO","6","5","MKO2",632.586182769767
"98","1","DMSO","6","8","MKO2",756.921035762176
"29","1","DMSO","6","1","GFP",693.903467624382
"30","1","DMSO","6","3","GFP",323.04414040225
"31","1","DMSO","6","7","GFP",469.884424724985
"92","1","DMSO","6","2","GFP",146.000055770617
"93","1","DMSO","6","6","GFP",206.021343400761
"32","1","DMSO","7","13","MKO2",591.975298367361
"33","1","DMSO","7","14","MKO2",79.5024666426559
"102","1","DMSO","7","15","MKO2",404.504346162485
"103","1","DMSO","7","16","MKO2",119.322225538259
"104","1","DMSO","7","7","MKO2",429.409290438368
"105","1","DMSO","7","8","MKO2",623.193363642173
"106","1","DMSO","7","9","MKO2",237.351617752164
"34","1","DMSO","7","2","GFP",96.5643436519081
"99","1","DMSO","7","4","GFP",380.07496746922
"100","1","DMSO","7","8","GFP",143.391423359413
"101","1","DMSO","7","9","GFP",251.638502334121
"35","1","DMSO","8","14","GFP",181.554999714508
"107","1","DMSO","8","10","GFP",412.273471937813
"108","1","DMSO","8","11","GFP",230.336641462471
"109","1","DMSO","8","13","GFP",415.837728092125
"110","1","DMSO","8","2","GFP",35.0194375287441
"111","1","DMSO","8","6","GFP",228.17426595686
"266","1","IGF1","4","5","MKO2",835.717148789486
"267","1","IGF1","4","7","MKO2",1013.93867890719
"268","1","IGF1","4","8","MKO2",729.815433190485
"269","1","IGF1","4","4","MKO2",670.863846362446
"262","1","IGF1","4","1","GFP",321.131041096676
"263","1","IGF1","4","4a","GFP",314.836416800483
"264","1","IGF1","4","4b","GFP",712.322613267283
"265","1","IGF1","4","5","GFP",281.091326074022
"274","1","IGF1","6","1","MKO2",1476.23117249299
"275","1","IGF1","6","12","MKO2",1058.19858044387
"276","1","IGF1","6","19","MKO2",760.587229423228
"277","1","IGF1","6","2","MKO2",426.15555600057
"278","1","IGF1","6","30","MKO2",738.858909869923
"270","1","IGF1","6","11","GFP",459.238917926681
"271","1","IGF1","6","14","GFP",766.733977189342
"272","1","IGF1","6","16","GFP",132.921238239754
"273","1","IGF1","6","19","GFP",269.409904408899
"293","1","IGF1","7","10","MKO2",515.180241128482
"294","1","IGF1","7","13","MKO2",906.023777990332
"295","1","IGF1","7","14","MKO2",1129.31481497514
"296","1","IGF1","7","17","MKO2",498.579935016466
"297","1","IGF1","7","18","MKO2",280.534161770869
"298","1","IGF1","7","21","MKO2",1112.03746694669
"299","1","IGF1","7","22","MKO2",1244.74323329169
"300","1","IGF1","7","23","MKO2",420.701163266964
"301","1","IGF1","7","24","MKO2",729.489053898169
"302","1","IGF1","7","7","MKO2",1204.54667152324
"303","1","IGF1","7","8","MKO2",395.405415784268
"304","1","IGF1","7","9","MKO2",679.313189606212
"279","1","IGF1","7","11","GFP",938.824072657006
"280","1","IGF1","7","14","GFP",848.097268387479
"281","1","IGF1","7","15","GFP",277.717714022947
"282","1","IGF1","7","16","GFP",604.287834737151
"283","1","IGF1","7","17","GFP",366.883932780576
"284","1","IGF1","7","20","GFP",628.238468602705
"285","1","IGF1","7","22","GFP",713.615444635826
"286","1","IGF1","7","23","GFP",744.713620160885
"287","1","IGF1","7","4","GFP",391.243854419205
"288","1","IGF1","7","5","GFP",794.510822911926
"289","1","IGF1","7","6","GFP",570.899749535164
"290","1","IGF1","7","7","GFP",1187.50907872135
"291","1","IGF1","7","8","GFP",246.247219857334
"292","1","IGF1","7","9","GFP",576.621896412126
"408","1","RAPA","1","3","MKO2",697.467738329764
"433","1","RAPA","1","1","MKO2",667.905864984807
"434","1","RAPA","1","2","MKO2",221.54560581031
"435","1","RAPA","1","4","MKO2",1423.55889684506
"436","1","RAPA","1","5a","MKO2",431.34219459082
"437","1","RAPA","1","6","MKO2",687.49477870662
"438","1","RAPA","1","7","MKO2",483.977501106224
"409","1","RAPA","1","1","GFP",294.311677234601
"410","1","RAPA","1","10","GFP",391.822674738798
"411","1","RAPA","1","11","GFP",215.481766524952
"412","1","RAPA","1","14","GFP",594.791758251759
"413","1","RAPA","1","15","GFP",630.356218417757
"414","1","RAPA","1","16","GFP",288.106304319526
"415","1","RAPA","1","17","GFP",216.432905485099
"416","1","RAPA","1","18a","GFP",406.640580543797
"417","1","RAPA","1","18b","GFP",178.757038404411
"418","1","RAPA","1","19","GFP",720.682705129929
"419","1","RAPA","1","20","GFP",480.246883530675
"420","1","RAPA","1","23","GFP",335.539659128601
