"CTRL_grp_name"	"MUT_grp_name"	"CTRL_n"	"MUT_n"	"CTRL_mean"	"CTRL_sem"	"MUT_mean"	"MUT_sem"	"Fold_change"	"t.AD"	"p_val"
"R841X-C (DMSO)"	"R841X (DMSO)"	141	120	1.19390485389264	0.0613433053563853	1.53867053497676	0.0825777123791323	1.28877148791215	6.1154	0.0013845
"R841X-C (DMSO)"	"R841X-C + IGF1"	141	74	1.19390485389264	0.0613433053563853	1.65587346927119	0.104130778718963	1.38693922205973	9.1816	0.00011256
"R841X-C (DMSO)"	"R841X-C + RAPA"	141	121	1.19390485389264	0.0613433053563853	1.4045534915491	0.0619843962873147	1.17643670428984	4.8102	0.0042044
"R841X-C (DMSO)"	"R841X-C + DHPG"	141	65	1.19390485389264	0.0613433053563853	1.12609805189193	0.0856811277957436	0.943205857837302	-0.559	0.67129
"R841X-C (DMSO)"	"R841X-C + TG003"	141	83	1.19390485389264	0.0613433053563853	1.57932699812709	0.105068280938395	1.32282484067119	6.5089	0.00099411
"R841X-C (DMSO)"	"R841X-C + BDNF"	141	82	1.19390485389264	0.0613433053563853	1.59530747639557	0.0895774535436559	1.33620989243338	9.5984	7.6687e-05
"R841X-C (DMSO)"	"R841X-C + EFT508"	141	85	1.19390485389264	0.0613433053563853	1.63949616085912	0.091330103686169	1.37322179025712	11.168	1.9297e-05
"R841X-C (DMSO)"	"R841X + IGF1"	141	72	1.19390485389264	0.0613433053563853	1.91437900906988	0.127848683745379	1.60346027811863	17.199	5.9394e-08
"R841X-C (DMSO)"	"R841X + RAPA"	141	90	1.19390485389264	0.0613433053563853	1.65784560971992	0.087471701634401	1.38859106260824	13.84	1.4913e-06
"R841X-C (DMSO)"	"R841X + DHPG"	141	76	1.19390485389264	0.0613433053563853	1.2576077387935	0.0855007880025922	1.05335675174882	-0.4979	0.6274
"R841X-C (DMSO)"	"R841X + TG003"	141	83	1.19390485389264	0.0613433053563853	1.78573257494722	0.101743717054764	1.49570760946735	16.615	1.0411e-07
"R841X-C (DMSO)"	"R841X + BDNF"	141	77	1.19390485389264	0.0613433053563853	1.79246890335973	0.0982673284312979	1.50134987517265	18.378	1.9164e-08
"R841X-C (DMSO)"	"R841X + EFT508"	141	77	1.19390485389264	0.0613433053563853	1.51048103701512	0.0819526064715668	1.26516031163647	7.3637	0.00046578
"R841X-C + IGF1"	"R841X + IGF1"	74	72	1.65587346927119	0.104130778718963	1.91437900906988	0.127848683745379	1.15611430740083	0.36398	0.23986
"R841X-C + RAPA"	"R841X + RAPA"	121	90	1.4045534915491	0.0619843962873147	1.65784560971992	0.087471701634401	1.18033639850303	2.2918	0.037158
"R841X-C + DHPG"	"R841X + DHPG"	65	76	1.12609805189193	0.0856811277957436	1.2576077387935	0.0855007880025922	1.11678351337224	-0.011652	0.36162
"R841X-C + TG003"	"R841X + TG003"	83	83	1.57932699812709	0.105068280938395	1.78573257494722	0.101743717054764	1.1306921094016	0.8051	0.15171
"R841X-C + BDNF"	"R841X + BDNF"	82	77	1.59530747639557	0.0895774535436559	1.79246890335973	0.0982673284312979	1.12358835514871	0.34853	0.24384
"R841X-C + EFT508"	"R841X + EFT508"	85	77	1.63949616085912	0.091330103686169	1.51048103701512	0.0819526064715668	0.921308065902151	-0.24562	0.47143
"R841X (DMSO)"	"R841X + IGF1"	120	72	1.53867053497676	0.0825777123791323	1.91437900906988	0.127848683745379	1.24417733722236	2.9761	0.020192
"R841X (DMSO)"	"R841X + RAPA"	120	90	1.53867053497676	0.0825777123791323	1.65784560971992	0.087471701634401	1.07745327673085	0.71918	0.16557
"R841X (DMSO)"	"R841X + DHPG"	120	76	1.53867053497676	0.0825777123791323	1.2576077387935	0.0855007880025922	0.817333997243601	2.465	0.031799
"R841X (DMSO)"	"R841X + TG003"	120	83	1.53867053497676	0.0825777123791323	1.78573257494722	0.101743717054764	1.160568513112	2.0495	0.046296
"R841X (DMSO)"	"R841X + BDNF"	120	77	1.53867053497676	0.0825777123791323	1.79246890335973	0.0982673284312979	1.16494653183621	2.8654	0.022266
"R841X (DMSO)"	"R841X + EFT508"	120	77	1.53867053497676	0.0825777123791323	1.51048103701512	0.0819526064715668	0.981679315148471	-0.45729	0.59952
