"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"42","1","DMSO","1","12","R841X-Mutant",1162.64744647835,4.09359469240291
"43","1","DMSO","1","2","R841X-Mutant",190.241472741036,0.669825995357848
"44","1","DMSO","1","3","R841X-Mutant",112.69356539171,0.396785614205583
"45","1","DMSO","1","5","R841X-Mutant",992.433487806675,3.4942840760146
"46","1","DMSO","1","8","R841X-Mutant",326.890157106159,1.15095579161318
"36","1","DMSO-(WT)","1","2","R841X-Correction",598.484093037109,2.1072177246552
"37","1","DMSO-(WT)","1","3","R841X-Correction",84.8229831801478,0.298655378973046
"38","1","DMSO-(WT)","1","4","R841X-Correction",407.402388733486,1.43443333681525
"39","1","DMSO-(WT)","1","5","R841X-Correction",108.361157822448,0.381531531220603
"40","1","DMSO-(WT)","1","6","R841X-Correction",846.410462361941,2.98014792602365
"41","1","DMSO-(WT)","1","8","R841X-Correction",176.965667881676,0.623082879485308
"1","1","DMSO","2","14","R841X-Mutant",559.199831839258,1.9689007794612
"49","1","DMSO","2","10","R841X-Mutant",541.602458883382,1.90694174557642
"50","1","DMSO","2","12","R841X-Mutant",867.764605482189,3.05533426664879
"51","1","DMSO","2","16","R841X-Mutant",666.189740025947,2.3456042432845
"52","1","DMSO","2","4","R841X-Mutant",380.056486800415,1.33815046159692
"53","1","DMSO","2","5","R841X-Mutant",503.42488119832,1.77252135025043
"54","1","DMSO","2","8","R841X-Mutant",710.698909840622,2.5023177008924
"55","1","DMSO","2","9","R841X-Mutant",304.350915142098,1.07159680660501
"2","1","DMSO-(WT)","2","7","R841X-Correction",769.438195560368,2.70913433218181
"47","1","DMSO-(WT)","2","2","R841X-Correction",228.352768719097,0.804013017751393
"48","1","DMSO-(WT)","2","6","R841X-Correction",321.832910479728,1.13314960452625
"3","1","DMSO","3","25","R841X-Mutant",180.391560247404,0.635145190246461
"4","1","DMSO","3","7","R841X-Mutant",211.160184893688,0.743479216116541
"64","1","DMSO","3","13","R841X-Mutant",494.704612361019,1.74181793595504
"65","1","DMSO","3","16","R841X-Mutant",749.165905343423,2.63775711470603
"66","1","DMSO","3","19","R841X-Mutant",415.309880790178,1.46227502486225
"67","1","DMSO","3","22","R841X-Mutant",606.071542970309,2.13393256832471
"68","1","DMSO","3","23","R841X-Mutant",536.689917336849,1.8896450542518
"69","1","DMSO","3","24","R841X-Mutant",242.769040392903,0.854771631970075
"70","1","DMSO","3","6","R841X-Mutant",540.651314351134,1.90359283682449
"71","1","DMSO","3","8","R841X-Mutant",319.692187673265,1.1256122796519
"5","1","DMSO-(WT)","3","20","R841X-Correction",248.449733416389,0.874772927186908
"6","1","DMSO-(WT)","3","24","R841X-Correction",173.124141165896,0.609557151267286
"7","1","DMSO-(WT)","3","16","R841X-Correction",282.139370063415,0.99339161781835
"8","1","DMSO-(WT)","3","17","R841X-Correction",360.869196895219,1.27059344906021
"9","1","DMSO-(WT)","3","1","R841X-Correction",174.219985192689,0.613415536115908
"10","1","DMSO-(WT)","3","13","R841X-Correction",201.094802483577,0.708039757546496
"11","1","DMSO-(WT)","3","14","R841X-Correction",316.460106081244,1.11423236212782
"56","1","DMSO-(WT)","3","15","R841X-Correction",550.278102030125,1.93748803615338
"57","1","DMSO-(WT)","3","2","R841X-Correction",147.252746556459,0.518465906041533
"58","1","DMSO-(WT)","3","21","R841X-Correction",481.001029995334,1.69356864748071
"59","1","DMSO-(WT)","3","23","R841X-Correction",540.948381194584,1.90463878695952
"60","1","DMSO-(WT)","3","4","R841X-Correction",462.426370657479,1.62816866134652
"61","1","DMSO-(WT)","3","5","R841X-Correction",379.551600793252,1.33637279573144
"62","1","DMSO-(WT)","3","7","R841X-Correction",472.737851238837,1.66447461316925
"63","1","DMSO-(WT)","3","8","R841X-Correction",629.81304710319,2.21752462849945
"12","1","DMSO","4","12","R841X-Mutant",516.306705987644,1.81787729176629
"13","1","DMSO","4","13","R841X-Mutant",449.202844230321,1.58160961392331
"14","1","DMSO","4","6","R841X-Mutant",408.105567252041,1.43690917578096
"15","1","DMSO","4","7","R841X-Mutant",384.34426482653,1.35324740729879
"77","1","DMSO","4","1","R841X-Mutant",298.250110146868,1.05011632856026
"78","1","DMSO","4","15","R841X-Mutant",912.269291488106,3.21203193710144
"79","1","DMSO","4","17","R841X-Mutant",931.73066145495,3.28055396503387
"80","1","DMSO","4","2","R841X-Mutant",991.243907277654,3.49009565195317
"81","1","DMSO","4","4","R841X-Mutant",581.797706994156,2.04846620754852
"16","1","DMSO-(WT)","4","3","R841X-Correction",207.623383259373,0.73102640211676
"17","1","DMSO-(WT)","4","4","R841X-Correction",128.938178338744,0.453981681286401
"18","1","DMSO-(WT)","4","5","R841X-Correction",155.274315695596,0.546709250962796
"19","1","DMSO-(WT)","4","6","R841X-Correction",250.969114378446,0.883643479103275
"20","1","DMSO-(WT)","4","7","R841X-Correction",314.799445311239,1.10838529977494
"72","1","DMSO-(WT)","4","10","R841X-Correction",426.281776514209,1.50090624900293
"73","1","DMSO-(WT)","4","12","R841X-Correction",873.582337002203,3.07581806416134
"74","1","DMSO-(WT)","4","13","R841X-Correction",491.854366930758,1.73178243499496
