"","Batch","Treatment","wellID","Image_ID","ind_type","Measurement","Normalized"
"36","1","DMSO-(WT)","1","2","R841X-Correction",598.484093037109,1.62421420045774
"37","1","DMSO-(WT)","1","3","R841X-Correction",84.8229831801478,0.230199424528134
"38","1","DMSO-(WT)","1","4","R841X-Correction",407.402388733486,1.10564132410501
"39","1","DMSO-(WT)","1","5","R841X-Correction",108.361157822448,0.294079213400831
"40","1","DMSO-(WT)","1","6","R841X-Correction",846.410462361941,2.29705669436903
"41","1","DMSO-(WT)","1","8","R841X-Correction",176.965667881676,0.480263642945454
"2","1","DMSO-(WT)","2","7","R841X-Correction",769.438195560368,2.08816317449935
"47","1","DMSO-(WT)","2","2","R841X-Correction",228.352768719097,0.619722084483878
"48","1","DMSO-(WT)","2","6","R841X-Correction",321.832910479728,0.873416001289458
"5","1","DMSO-(WT)","3","20","R841X-Correction",248.449733416389,0.674262841418273
"6","1","DMSO-(WT)","3","24","R841X-Correction",173.124141165896,0.46983819920217
"7","1","DMSO-(WT)","3","16","R841X-Correction",282.139370063415,0.765692483219912
"8","1","DMSO-(WT)","3","17","R841X-Correction",360.869196895219,0.979355810662547
"9","1","DMSO-(WT)","3","1","R841X-Correction",174.219985192689,0.472812188737584
"10","1","DMSO-(WT)","3","13","R841X-Correction",201.094802483577,0.545747226420967
"11","1","DMSO-(WT)","3","14","R841X-Correction",316.460106081244,0.858834853182389
"56","1","DMSO-(WT)","3","15","R841X-Correction",550.278102030125,1.49338891027609
"57","1","DMSO-(WT)","3","2","R841X-Correction",147.252746556459,0.399626330584154
"58","1","DMSO-(WT)","3","21","R841X-Correction",481.001029995334,1.30537922802366
"59","1","DMSO-(WT)","3","23","R841X-Correction",540.948381194584,1.46806916453232
"60","1","DMSO-(WT)","3","4","R841X-Correction",462.426370657479,1.25496982564154
"61","1","DMSO-(WT)","3","5","R841X-Correction",379.551600793252,1.03005761888586
"62","1","DMSO-(WT)","3","7","R841X-Correction",472.737851238837,1.28295394983604
"63","1","DMSO-(WT)","3","8","R841X-Correction",629.81304710319,1.70923723226698
"16","1","DMSO-(WT)","4","3","R841X-Correction",207.623383259373,0.563465013289908
"17","1","DMSO-(WT)","4","4","R841X-Correction",128.938178338744,0.349922784373744
"18","1","DMSO-(WT)","4","5","R841X-Correction",155.274315695596,0.421395909186691
