"","ind_type","Treatment","DMSO_Mean","Treatment_Mean","FC","p.val","FCR"
"1","R841X-Correction","DMSO","1.19390485389264",1.19390485389264,1,NA,1
"2","R841X-Correction","IGF1","1.19390485389264",1.65587346927119,1.38693922205973,0.00011256,1.39
"3","R841X-Correction","RAPA","1.19390485389264",1.4045534915491,1.17643670428984,0.0042044,1.18
"4","R841X-Correction","DHPG","1.19390485389264",1.12609805189193,0.943205857837302,0.67129,0.94
"5","R841X-Correction","TG003","1.19390485389264",1.57932699812709,1.32282484067119,0.00099411,1.32
"6","R841X-Correction","BDNF","1.19390485389264",1.59530747639557,1.33620989243338,7.6687e-05,1.34
"7","R841X-Correction","EFT508","1.19390485389264",1.63949616085912,1.37322179025712,1.9297e-05,1.37
"8","R841X-Mutant","DMSO","1.18598591094524",1.18598591094524,1,NA,1
"9","R841X-Mutant","IGF1","1.18598591094524",1.47557679266308,1.24417733722236,0.020192,1.24
"10","R841X-Mutant","RAPA","1.18598591094524",1.27784440590458,1.07745327673085,0.16557,1.08
"11","R841X-Mutant","DHPG","1.18598591094524",0.96934660526747,0.817333997243601,0.031799,0.82
"12","R841X-Mutant","TG003","1.18598591094524",1.3764179052375,1.160568513112,0.046296,1.16
"13","R841X-Mutant","BDNF","1.18598591094524",1.38161017376227,1.16494653183621,0.022266,1.16
"14","R841X-Mutant","EFT508","1.18598591094524",1.16425783683246,0.98167931514847,0.59952,0.98
