HGNC	Module_Label
TSPAN6	-
TNMD	-
DPM1	-
SCYL3	-
FGR	-
NIPAL3	-
LAS1L	-
ENPP4	-
ANKIB1	-
CYP51A1	-
KRIT1	-
LAP3	-
HS3ST1	-
HECW1	-
SNX11	-
TMEM176A	-
KLHL13	-
CYP26B1	-
DBNDD1	-
ALS2	-
CASP10	-
CFLAR	-
C2ORF56	-
ARF5	-
SARM1	-
POLDIP2	-
PLXND1	-
CCDC132	-
ARHGAP33	-
PDK4	-
SLC25A13	-
CDC27	-
SLC4A1	-
HCCS	-
PRSS22	-
SLC25A5	-
CCDC109B	-
DHX33	-
THSD7A	-
RPAP3	-
ACSM3	-
KIAA1539	-
PRKAR2B	-
MSL3	-
BZRAP1	-
C2ORF3	-
IBTK	-
MYCBP2	-
FBXL3	-
PDK2	-
ITGA3	-
ZFX	-
GGNBP2	-
ASB4	-
C19ORF60	-
CRLF1	-
MAP3K14	-
CCL3	-
TMEM132A	-
AP2B1	-
TNFRSF12A	-
DLX6	-
MAP3K9	-
RALA	-
BAIAP2L1	-
JHDM1D	-
ETV1	-
PHTF2	-
FARP2	-
GGCT	-
TBXA2R	-
IFRD1	-
COX10	-
GTF2IRD1	-
PAF1	-
ARHGAP44	-
PNPLA4	-
ADIPOR2	-
CDKL3	-
MARK4	-
PROM1	-
CEACAM21	-
NOS2	-
KIAA0100	-
ST7L	-
RPUSD1	-
CACNA2D2	-
BAIAP3	-
C16ORF42	-
PIGQ	-
DNAJC11	-
PSMB1	-
JARID2	-
CDKL5	-
CDK11A	-
NADK	-
TFAP2D	-
DLEC1	-
CYTH3	-
SPAG9	-
SS18L2	-
MPND	-
PGLYRP1	-
ST3GAL1	-
MMP25	-
IL32	-
MAPK8IP2	-
MED24	-
RHOBTB2	-
HEATR5B	-
UBE3C	-
MASP2	-
FAM76A	-
VTA1	-
MLXIPL	-
RANBP9	-
C1ORF124	-
METTL13	-
UQCRC1	-
STARD3NL	-
IFFO1	-
GIPR	-
PHF7	-
SEMA3G	-
NISCH	-
FUZ	-
PRSS3	-
LRRC23	-
SCMH1	-
FYN	-
HIVEP2	-
CLCN6	-
SLC6A7	-
TSPAN9	-
APBA3	-
ABHD5	-
AKAP8L	-
MBTD1	-
UTP18	-
TTC19	-
SYT7	-
PLAUR	-
RABGAP1	-
PPP5C	-
MAP4K3	-
GABRA3	-
ERCC1	-
SEMA3B	-
MBTPS2	-
PRICKLE3	-
LTF	-
EXTL3	-
ELOVL5	-
ALOX5	-
KDM5D	-
CALCOCO1	-
PSMC4	-
SLC7A14	-
CLDN11	-
MVP	-
NUB1	-
PGM3	-
RWDD2A	-
CLK1	-
POLR3B	-
ANGEL1	-
DDX11	-
HEBP1	-
MAMLD1	-
CD6	-
UFL1	-
YAF2	-
BID	-
XYLT2	-
STMN4	-
CLCA4	-
GLT8D1	-
SRCIN1	-
MAGIX	-
RALBP1	-
RUFY3	-
AGPS	-
ZNF806	-
CXORF56	-
ZNF582	-
VSIG2	-
PHLDB1	-
CYP24A1	-
PRDM11	-
SYT13	-
SNAI2	-
MNAT1	-
FHL1	-
NLRP2	-
SLC45A4	-
RNF10	-
ZNF839	-
ZDHHC6	-
NDUFS1	-
RB1CC1	-
ERP44	-
ALAS1	-
BIRC3	-
SNAPC1	-
STRAP	-
GCLM	-
UBR2	-
NCAPH2	-
KPNA6	-
RTEL1	-
FAS	-
RNASET2	-
KCNG1	-
AGPAT4	-
MIPEP	-
VRK2	-
TBPL1	-
SLC39A9	-
ANK1	-
TFB1M	-
RABEP1	-
HMGB3	-
NUP160	-
IKZF2	-
FAM13B	-
ARHGAP31	-
TSSC1	-
IFT88	-
ALG1	-
ZCCHC8	-
ABCF2	-
CHPF2	-
LRRC7	-
UBA6	-
PIAS1	-
SLC4A7	-
APBA2	-
MAP2K3	-
ASTE1	-
PEX3	-
GABARAPL2	-
SH3YL1	-
FAM136A	-
ADSS	-
TIMP2	-
RFC1	-
TBC1D23	-
USP2	-
TUBG2	-
NSUN2	-
FBXO42	-
