NAME	baseMean	FClog2 unshrunken	pvalue	padj
JUNB	1068.981169	5.117642545	6.32E-103	1.27E-98
IER2	961.241985	1.661258573	4.46E-66	4.49E-62
NR4A1	1202.313789	3.051219151	6.35E-61	4.25E-57
DUSP1	527.2530244	1.828031803	2.36E-41	9.49E-38
SIK1	1343.004196	1.909031855	2.18E-41	9.49E-38
ARC	579.4293817	2.138891953	2.25E-35	7.52E-32
NR4A3	259.5970081	3.269094831	6.03E-35	1.73E-31
BTG2	831.0086706	2.190535345	1.64E-34	4.12E-31
RASD1	253.0668169	1.414698449	3.29E-22	7.36E-19
EGR1	3586.386524	3.32514342	5.23E-19	1.05E-15
RGS2	415.1114922	0.875164821	3.90E-18	7.13E-15
MIR22HG	107.8519045	1.577566946	5.34E-17	8.94E-14
GEM	109.0912935	3.095801755	7.90E-17	1.22E-13
JUN	1920.58051	0.846562107	2.40E-16	3.45E-13
GADD45B	123.8569975	2.415566049	3.15E-16	4.22E-13
FOS	3008.917156	3.73529515	7.35E-15	9.23E-12
SLC2A3	958.4163532	1.021441283	1.84E-12	2.18E-09
EGR4	44.14897172	6.379641872	1.02E-11	1.14E-08
CLK1	405.5680482	0.753762508	3.95E-11	4.18E-08
NPAS4	533.8539791	7.103416637	7.32E-11	7.36E-08
LINC00473	23.72066581	3.906574915	6.88E-10	6.59E-07
PTP4A1	2845.937619	0.374250695	4.23E-09	3.87E-06
MCL1	2001.245384	0.6314168	6.40E-09	5.59E-06
EGR3	214.5146789	4.547989634	9.82E-09	8.22E-06
ATF3	611.3154201	0.851546856	3.22E-08	2.59E-05
KLF6	1195.177591	0.502547706	4.57E-08	3.53E-05
PER1	450.0096525	0.719578558	5.18E-08	3.86E-05
BHLHE40	239.4860722	1.2844372	7.56E-08	5.43E-05
CSRNP1	153.2726399	1.982871444	1.19E-07	8.25E-05
FOSL2	347.8833245	2.660765726	1.49E-07	9.96E-05
HIC1	19.77190421	2.556426789	1.46E-06	0.00094405
MIDN	3547.86987	0.479740848	2.16E-06	0.001355696
KIAA1107	758.2922123	0.506681688	2.53E-06	0.001539359
GPR3	79.53998327	0.923498348	4.28E-06	0.002531582
JUND	2436.888045	0.449629506	4.48E-06	0.002575299
ZNF331	495.0157817	0.615202024	5.56E-06	0.003102986
TIPARP	142.6614046	0.796136294	1.20E-05	0.00651002
EGR2	205.5617931	4.779672974	1.24E-05	0.006540019
NR4A2	68.54268146	1.235602976	1.88E-05	0.009698562
ID1	31.05664229	1.859476249	2.02E-05	0.009924154
MAGEL2	877.0885388	0.625791962	2.01E-05	0.009924154
BRE-AS1	12.67819218	4.734672331	4.25E-05	0.020357764
ZNF184	199.5986509	0.675830911	7.15E-05	0.03343876
PPP1R15B	1496.442222	0.349317746	7.75E-05	0.035412271
TRIB1	234.5694619	0.503213984	8.02E-05	0.035812028
ERF	197.9082194	0.513451955	0.000101404	0.044311345
C11orf96	138.5528787	1.118751775	0.000113571	0.048572195
FOSB	390.5098578	5.963176465	0.00012345	0.051204607
IRF2BP2	2752.957248	0.281524842	0.000124821	0.051204607
NFIL3	611.5936993	0.360771886	0.000178271	0.071668415
