"Module" "Pval" "Pval.adj.Bonf" "categ" "BH.pval"
"M1" 0.999999999988866 19.9999999997773 "4wk-Down" 1
"M10" 0.999999996103752 19.999999922075 "4wk-Down" 1
"M11" 1 20 "4wk-Down" 1
"M12" 0.635807857013493 12.7161571402699 "4wk-Down" 1
"M13" 0.862014829160299 17.240296583206 "4wk-Down" 1
"M14" 1 20 "4wk-Down" 1
"M15" 0.999021122404491 19.9804224480898 "4wk-Down" 1
"M16" 0.999999679255738 19.9999935851148 "4wk-Down" 1
"M17" 0.923531208257902 18.470624165158 "4wk-Down" 1
"M18" 0.998060243650188 19.9612048730038 "4wk-Down" 1
"M2" 1 20 "4wk-Down" 1
"M3" 1 20 "4wk-Down" 1
"M4" 0.999999999999968 19.9999999999994 "4wk-Down" 1
"M5" 1 20 "4wk-Down" 1
"M6" 0.985256728280331 19.7051345656066 "4wk-Down" 1
"M8" 0.999808187677893 19.9961637535579 "4wk-Down" 1
"M9" 0.999999711024699 19.999994220494 "4wk-Down" 1
"Periods3-5_PFC-MSC" 0.980497494169895 19.6099498833979 "4wk-Down" 1
"Periods4-6_PFC-MSC" 0.968738412849603 19.3747682569921 "4wk-Down" 1
"Periods8-10_MD-CBC" 0.841861725100318 16.8372345020064 "4wk-Down" 1
"M1" 9.86811991092574e-08 1.97362398218515e-06 "4wk-Up" 8.7716621430451e-07
"M10" 0.999999740806911 19.9999948161382 "4wk-Up" 1
"M11" 2.61063970715902e-48 5.22127941431804e-47 "4wk-Up" 1.04425588286361e-46
"M12" 1 20 "4wk-Up" 1
"M13" 0.999999984539464 19.9999996907893 "4wk-Up" 1
"M14" 5.80599435381053e-37 1.16119887076211e-35 "4wk-Up" 1.54826516101614e-35
"M15" 0.952814892172223 19.0562978434445 "4wk-Up" 1
"M16" 0.962312023834036 19.2462404766807 "4wk-Up" 1
"M17" 0.999999998533091 19.9999999706618 "4wk-Up" 1
"M18" 1.24778396733559e-05 0.000249556793467118 "4wk-Up" 7.81719505239164e-05
"M2" 0.999999999999799 19.999999999996 "4wk-Up" 1
"M3" 8.27913801317592e-12 1.65582760263518e-10 "4wk-Up" 1.10388506842346e-10
