"Geneid" "5_B1_R1_4wk" "5_B1_R2_4wk" "5_B2_R1_4wk" "5_B2_R2_4wk" "5_cor_B1_R1_4wk" "5_cor_B1_R2_4wk" "5_cor_B2_R1_4wk" "5_cor_B2_R2_4wk"
"OR4F5" 0 0 0 1 0 0 0 0
"OR4F29" 0 0 0 1 0 0 0 0
"OR4F16" 0 0 0 1 0 0 0 0
"SAMD11" 1109 678 533 922 1008 1242 331 246
"NOC2L" 3690 4338 4302 3098 3254 3141 3387 3085
"KLHL17" 1191 868 699 1429 1905 1408 1448 1152
"PLEKHN1" 17 17 0 4 23 18 20 19
"PERM1" 9 3 4 11 13 6 8 9
"HES4" 2655 3410 3776 1693 3612 3344 2735 2097
"ISG15" 200 205 172 199 311 300 255 227
"AGRN" 23991 29704 28795 21608 15919 16617 18118 15370
"RNF223" 4 0 1 1 2 0 2 0
"C1orf159" 1186 728 658 904 1391 1301 1137 922
"TTLL10" 5 2 0 4 6 1 2 2
"TNFRSF18" 0 7 2 0 2 0 0 0
"TNFRSF4" 3 1 0 2 0 2 2 2
"SDF4" 3730 5779 6172 4149 3486 3729 4042 3550
"B3GALT6" 2461 2272 2420 2480 1719 2219 2269 2101
"C1QTNF12" 28 52 41 35 77 42 48 34
"UBE2J2" 2220 2285 2286 2138 2170 2129 2137 1995
"SCNN1D" 662 285 275 687 1521 927 1330 892
"ACAP3" 9099 5838 5003 10857 13129 9234 11356 9924
"PUSL1" 304 556 539 316 289 333 355 383
"INTS11" 3679 3299 3324 3726 4683 3516 4279 3441
"CPTP" 852 916 842 954 701 795 742 759
"TAS1R3" 60 67 58 124 108 110 44 46
"DVL1" 3202 2814 2955 2951 4124 3530 3737 2782
"MXRA8" 766 2215 2431 673 1750 1206 855 710
"AURKAIP1" 1445 2344 2581 1366 1215 1375 1652 1210
"CCNL2" 16902 15425 11662 16085 24129 18013 15450 12315
"MRPL20" 1458 2066 2063 1402 1194 1384 1367 1077
"ANKRD65" 96 75 22 121 84 115 74 74
"TMEM88B" 41 7 11 33 31 32 32 32
"VWA1" 355 1471 1171 296 291 432 412 309
"ATAD3C" 17 17 10 11 33 28 20 18
"ATAD3B" 1559 1563 1344 1189 2013 1535 1633 1229
"ATAD3A" 1247 1971 1824 1164 1306 1221 1392 1076
"TMEM240" 365 251 222 432 383 324 461 450
"SSU72" 3423 3973 4029 3369 2932 3270 3314 2934
"FNDC10" 607 453 639 639 500 579 692 472
"MIB2" 2795 2008 2000 3201 4006 3009 3460 2641
"MMP23B" 38 33 34 23 37 35 17 16
"CDK11B" 2273 2157 1962 2320 2227 2237 2486 1979
"SLC35E2B" 8362 5932 5034 9067 9075 8132 7828 8109
"CDK11A" 28 19 12 24 31 18 18 16
"SLC35E2" 926 556 478 1007 878 819 936 920
"NADK" 2628 3092 2977 2468 2590 2315 2596 2137
"GNB1" 31859 32204 31925 35946 28727 29748 32390 29680
"CALML6" 16 2 2 14 12 13 36 17
"TMEM52" 10 17 36 12 2 10 24 6
"CFAP74" 17 9 13 5 61 101 32 16
"GABRD" 0 0 4 0 10 2 18 4
"PRKCZ" 1144 425 352 1066 678 861 850 994
"FAAP20" 1022 1290 1489 900 765 828 847 729
"SKI" 6548 7093 5733 7168 5668 6180 5563 5114
"MORN1" 336 397 360 353 666 475 483 437
"RER1" 3212 5645 5062 3264 3574 3372 3318 2863
"PEX10" 655 898 979 564 508 595 578 519
"PLCH2" 543 218 159 566 1197 897 665 460
"PANK4" 1529 1303 1410 1547 1432 1270 1428 1272
"HES5" 389 425 336 153 107 121 139 336
"TNFRSF14" 6 62 33 5 7 7 2 0
"FAM213B" 1801 1784 1784 1468 1152 1415 1666 1260
"MMEL1" 16 7 6 13 3 5 2 7
"TTC34" 65 40 29 75 0 0 10 10
"ACTRT2" 0 0 0 0 0 0 0 0
"PRDM16" 562 231 148 738 312 255 657 607
"ARHGEF16" 22 11 4 11 35 34 28 4
"MEGF6" 573 512 372 527 752 339 262 245
"TPRG1L" 1387 1631 1659 1434 1296 1255 1384 1280
"WRAP73" 709 769 808 721 866 770 718 657
"TP73" 37 56 41 34 49 57 96 36
"CCDC27" 11 13 10 9 2 10 1 10
"SMIM1" 6 17 34 5 9 7 5 5
"LRRC47" 3115 3015 2775 3464 3068 3221 3477 3094
"CEP104" 2427 2046 1920 2696 3161 2578 2489 2439
"DFFB" 622 513 455 664 762 686 632 616
"C1orf174" 773 836 817 793 935 760 749 646
"AJAP1" 33 12 16 163 48 210 189 177
"NPHP4" 1530 1253 1106 1403 1827 1940 1598 1394
"KCNAB2" 971 578 439 1241 1049 1322 1115 1081
"CHD5" 5412 1374 779 8346 7070 7557 9511 9013
"RPL22" 10118 16287 18981 9576 7959 8515 10224 9963
"RNF207" 350 223 208 380 484 366 360 260
"ICMT" 2476 4268 4389 2345 2122 2150 2506 1974
"HES3" 44 71 19 3 20 7 2 2
"GPR153" 3096 3664 2775 3868 2971 3189 2416 2178
"ACOT7" 5300 3777 3637 4512 3622 4433 4857 3763
"HES2" 14 306 376 12 70 73 20 8
"ESPN" 102 825 732 61 480 230 96 85
"TNFRSF25" 1614 959 954 2226 3005 2085 2129 1454
"PLEKHG5" 3512 3878 3453 5134 6723 4755 4648 3118
"NOL9" 2112 1815 1526 2131 2202 2095 2238 2261
"TAS1R1" 4 4 2 2 8 4 11 6
"ZBTB48" 1281 1087 881 1290 1496 1282 1322 1193
"KLHL21" 1398 1939 1701 1603 1519 1562 1775 1789
"PHF13" 1686 2032 1998 1711 1448 1522 1637 1556
"THAP3" 650 663 631 762 693 615 721 640
"DNAJC11" 2113 2515 2236 2084 2049 1912 2056 2069
"CAMTA1" 9626 5855 4607 11246 9256 9874 9073 9958
"VAMP3" 1850 3543 3386 1781 1797 1954 1870 1738
"PER3" 590 676 686 904 1048 928 953 938
"UTS2" 10 2 0 0 6 9 6 0
"TNFRSF9" 8 17 14 12 6 8 40 9
"PARK7" 5614 7158 7960 5182 4292 4630 5938 4559
"ERRFI1" 2272 1538 1318 2551 1722 2081 1680 1939
"SLC45A1" 465 183 147 497 362 451 430 383
"RERE" 17739 13236 10019 23286 16259 16640 16332 16903
"ENO1" 18679 45756 48450 11226 11143 13086 16523 11002
"CA6" 0 0 0 0 0 1 0 0
"SLC2A7" 0 0 0 0 0 0 0 0
"SLC2A5" 0 2 6 0 8 2 34 9
"GPR157" 13 28 21 16 32 8 21 22
"H6PD" 3349 3923 2939 4245 3015 3647 4165 4086
"SPSB1" 72 93 74 46 49 64 98 90
"SLC25A33" 825 629 697 669 423 674 759 682
"TMEM201" 1590 1417 1253 1531 1116 1276 1465 1345
"PIK3CD" 374 238 180 354 316 280 366 355
"CLSTN1" 20125 18987 17362 25249 14986 18143 19179 20849
"CTNNBIP1" 2524 2920 2899 2437 2196 2554 2332 2050
"LZIC" 1901 1894 2068 1828 1820 1789 1981 1710
"NMNAT1" 564 666 811 518 548 501 628 510
"RBP7" 8 10 5 2 7 5 1 3
"UBE4B" 5120 4774 4469 5078 4790 4247 4410 4639
"KIF1B" 37182 27410 22245 43765 37157 35066 38465 40256
"PGD" 10893 11496 12200 9588 8240 9215 9702 8686
"CENPS" 47 47 49 50 51 42 61 26
"CORT" 61 31 21 77 104 58 56 58
"DFFA" 3083 3390 4117 2749 2428 2117 2945 2684
"PEX14" 881 1085 946 929 800 908 943 897
"CASZ1" 920 310 271 1259 1073 694 768 712
"C1orf127" 0 1 0 1 1 2 0 2
"TARDBP" 6595 5956 5309 7053 6619 6186 6823 6158
"MASP2" 553 411 324 723 852 723 647 709
"SRM" 1829 2903 3207 1653 1577 1642 1958 1617
"EXOSC10" 3546 3509 3241 3640 3892 3528 3538 3090
"MTOR" 6598 6725 5613 6054 6382 5510 6001 5557
"ANGPTL7" 6 18 6 6 7 8 17 14
"UBIAD1" 1210 1186 1187 1210 895 904 1161 1105
"DISP3" 2332 632 463 3386 4063 2693 2336 1962
"FBXO2" 137 222 285 103 113 131 94 77
"FBXO44" 2422 1592 1526 2412 3171 2500 2574 2135
"FBXO6" 195 85 75 205 204 178 203 167
"MAD2L2" 2104 3268 4041 1697 1749 1537 1989 1665
"DRAXIN" 7126 7075 7377 5042 8058 4974 3850 3973
"AGTRAP" 343 751 751 234 355 399 479 380
"C1orf167" 2 0 0 0 2 0 1 2
"MTHFR" 2557 2561 2242 2715 3190 2697 2608 2382
"CLCN6" 5475 4573 3170 5452 6173 5332 5351 5031
"NPPA" 21 19 14 41 56 67 89 44
"NPPB" 2 4 4 1 5 7 2 2
"KIAA2013" 1803 2794 2845 2036 1693 1792 1844 1725
"PLOD1" 2206 7674 7898 2563 1532 2261 1897 1492
"MFN2" 7316 7847 7537 7335 6864 6765 6645 6219
"MIIP" 1545 1189 1233 1080 1466 1330 1519 957
"TNFRSF8" 6 6 8 14 2 2 0 2
"TNFRSF1B" 8 8 5 4 2 4 6 0
"VPS13D" 5175 4115 3087 6563 5341 4803 5850 6123
"DHRS3" 815 173 178 655 688 903 500 321
"AADACL4" 0 0 2 0 0 1 0 0
"AADACL3" 0 0 0 0 0 0 0 0
"C1orf158" 17 8 21 9 94 64 55 54
"PRAMEF12" 0 0 0 0 4 4 0 0
"PRAMEF1" 0 0 0 0 0 0 0 0
"PRAMEF11" 0 0 0 0 0 0 0 0
"HNRNPCL1" 2 0 0 4 1 0 0 2
"PRAMEF2" 2 0 0 0 0 0 0 0
"PRAMEF4" 0 0 0 0 0 0 1 0
"PRAMEF10" 0 0 0 0 0 0 0 0
"PRAMEF7" 2 0 0 0 0 0 0 0
"PRAMEF6" 2 0 0 0 0 0 0 0
"PRAMEF27" 0 0 0 0 0 0 0 0
"HNRNPCL3" 0 0 0 0 0 0 0 0
"PRAMEF25" 0 0 0 0 0 0 0 0
"HNRNPCL2" 0 0 0 7 4 0 0 2
"PRAMEF26" 0 0 0 0 0 0 0 0
"HNRNPCL4" 0 0 0 0 0 0 0 0
"PRAMEF9" 0 0 0 2 0 0 0 0
"PRAMEF13" 0 2 0 2 0 0 1 0
"PRAMEF18" 0 0 2 1 2 0 0 0
"PRAMEF5" 2 0 0 0 0 0 0 0
"PRAMEF8" 0 0 0 0 0 0 0 0
"PRAMEF33" 0 0 0 0 0 0 0 0
"PRAMEF15" 0 0 0 2 2 2 0 0
"PRAMEF14" 0 0 2 0 0 0 1 0
"PRAMEF19" 0 0 0 0 0 0 0 0
"PRAMEF17" 0 0 0 0 0 1 0 2
"PRAMEF20" 0 0 0 2 0 0 0 1
"LRRC38" 0 0 0 2 4 3 2 0
"PDPN" 4045 7530 7081 2812 1913 3746 2882 1553
"PRDM2" 5953 5837 4939 6966 5960 5731 6109 6022
"KAZN" 2825 3134 3446 2723 3085 2665 1791 1594
"TMEM51" 145 485 657 136 164 178 216 210
"FHAD1" 43 29 49 18 135 90 50 36
"EFHD2" 912 809 863 747 902 983 1154 633
"CTRC" 9 5 8 18 22 16 19 22
"CELA2A" 4 4 2 5 6 10 11 8
"CELA2B" 5 14 3 15 10 12 14 11
"CASP9" 763 546 543 810 1072 892 885 740
"DNAJC16" 1270 1628 1557 1378 1252 1079 1355 1288
"AGMAT" 7 20 28 8 7 10 11 26
"DDI2" 1744 1548 1484 1962 1870 1564 1785 1759
"RSC1A1" 0 0 0 0 0 0 0 0
"PLEKHM2" 3402 3530 3657 3493 3195 3136 3659 3168
"SLC25A34" 318 166 141 415 582 374 401 300
"TMEM82" 2 1 0 8 1 0 1 3
"FBLIM1" 1213 1079 798 2060 905 1052 990 865
"UQCRHL" 480 589 643 428 431 393 457 434
"SPEN" 11867 10334 7658 13877 11403 10352 12040 12507
"ZBTB17" 2044 1721 1603 2388 2295 2158 2187 2082
"C1orf64" 0 2 0 2 0 0 0 0
"HSPB7" 4 0 2 0 0 0 249 47
"CLCNKA" 0 0 0 2 2 0 4 2
"CLCNKB" 2 5 2 2 4 2 2 0
"FAM131C" 71 28 10 44 35 39 49 58
"EPHA2" 768 1888 1842 244 439 382 138 155
"ARHGEF19" 86 235 177 46 69 59 26 52
"RSG1" 169 155 189 178 209 177 299 226
"FBXO42" 3708 2784 2385 4067 4051 3446 3941 3934
"SZRD1" 4841 8190 8483 4314 3169 3603 3998 3673
"SPATA21" 14 5 11 9 18 18 17 14
"NECAP2" 1412 2092 1956 1527 1530 1416 1434 1346
"FAM231B" 0 0 0 0 5 1 2 0
"NBPF1" 1850 1232 1185 1633 2049 1650 1838 1588
"FAM231A" 0 0 0 0 0 0 0 0
"FAM231C" 0 0 0 0 0 0 0 0
"CROCC" 3222 2321 1945 2904 4290 2937 2954 2580
"MFAP2" 292 485 372 119 338 415 257 278
"ATP13A2" 6013 3700 3208 5607 4632 5107 6303 5095
"SDHB" 1179 1555 1680 1062 1035 1133 1274 1056
"PADI2" 12 10 2 26 20 29 73 17
"PADI1" 1 0 0 0 0 0 0 0
"PADI3" 0 0 0 0 0 0 0 1
"PADI4" 4 2 4 0 2 0 0 0
"PADI6" 0 0 0 0 0 0 0 1
"RCC2" 5931 6777 5608 5271 5220 4278 5082 4799
"ARHGEF10L" 4383 3398 2857 5356 4915 4818 3633 3393
"ACTL8" 0 2 2 1 0 2 0 0
"IGSF21" 22 14 20 17 36 44 47 63
"KLHDC7A" 0 0 0 0 0 0 4 0
"PAX7" 842 86 48 2041 56 66 2370 1885
"TAS1R2" 0 0 0 2 2 4 0 1
"ALDH4A1" 583 509 599 516 409 508 551 489
"IFFO2" 1951 1930 1689 2491 1217 1773 1796 1827
"UBR4" 14753 15638 10602 17136 15193 14439 15336 16224
"EMC1" 5910 7667 7442 6553 5138 5570 5738 5386
"MRTO4" 1404 1768 1789 1225 1158 1384 1433 1341
"AKR7L" 78 38 25 64 85 119 49 64
"AKR7A3" 125 83 52 115 160 181 95 105
"AKR7A2" 1370 2020 2388 1133 1002 1110 1304 864
"PQLC2" 679 796 768 756 638 757 695 698
"CAPZB" 6978 9684 10145 7020 5293 5760 7618 6386
"MINOS1" 1211 1507 1523 1094 893 987 1311 1167
"MINOS1-NBL1" 0 0 0 0 0 0 0 0
"NBL1" 157 147 132 277 74 99 290 241
"HTR6" 3 0 0 4 0 2 14 6
"TMCO4" 0 6 1 3 6 14 13 14
"RNF186" 0 0 0 0 0 0 0 0
"OTUD3" 2589 2161 2115 2795 3418 2803 3019 2679
"PLA2G2E" 0 2 0 0 0 4 5 1
"PLA2G2A" 0 0 0 0 2 0 2 0
"PLA2G5" 0 0 0 0 2 0 3 2
"PLA2G2D" 0 0 0 1 0 0 2 2
"PLA2G2F" 0 0 2 0 0 0 0 1
"PLA2G2C" 0 0 0 2 0 0 0 0
"UBXN10" 16 26 34 33 77 60 85 80
"VWA5B1" 8 10 15 7 84 35 100 89
