"CTRL_grp_name"	"MUT_grp_name"	"Lawn"	"Growth_Condition"	"CTRL_n"	"MUT_n"	"Variable"	"CTRL_mean"	"CTRL_sem"	"MUT_mean"	"MUT_sem"	"Fold_change"	"t.AD"	"p_val"
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA"	60	60	"sEPSC_Freq"	1.85290638439916	0.332841654581984	10.0282177705805	2.01281363702903	5.41215565719602	21.642	8.3618e-10
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA"	60	60	"sEPSC_Ampl"	1.02374128198076	0.0308082058553799	1.16511186876583	0.0390866294058451	1.13809210322313	4.2038	0.0070333
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA+BDNF"	45	45	"sEPSC_Freq"	2.04724421602003	0.372541237416966	5.2986378004475	0.813634777483593	2.58818061811325	8.307	0.00023007
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA+BDNF"	45	45	"sEPSC_Ampl"	1.02591193903135	0.0378848943386167	1.13009734729959	0.0552191912714274	1.10155394854514	0.83883	0.14662
"CTRL"	"SHANK2 KO"	"CTRL1"	"AA"	60	60	"sEPSC_Freq"	1.87261010422226	0.267521624634363	11.9311291463334	2.77591475684479	6.37138992224367	7.4419	0.00043688
"CTRL"	"SHANK2 KO"	"CTRL1"	"AA"	60	60	"sEPSC_Ampl"	1.04519339303211	0.0429732373730709	1.2361429693046	0.0730902245201735	1.18269305713705	2.6533	0.026879
"CTRL"	"SHANK2 DEL"	"CTRL1"	"AA"	60	60	"sEPSC_Freq"	2.1732596986936	0.442671721162399	6.11122264444692	1.811420737228	2.81200753325547	2.2168	0.039766
"CTRL"	"SHANK2 DEL"	"CTRL1"	"AA"	60	60	"sEPSC_Ampl"	1.07956132141595	0.0617210919803888	1.08541861306476	0.0606465292853675	1.0054256219935	-0.072312	0.38715
"SHANK2 R841X-C"	"SHANK2 R841X"	"CTRL1"	"AA"	50	50	"sEPSC_Freq"	1.53260517386257	0.205656161797032	8.74958109467381	1.29556302132984	5.70895964850658	26.17	1.0857e-11
"SHANK2 R841X-C"	"SHANK2 R841X"	"CTRL1"	"AA"	50	50	"sEPSC_Ampl"	1.02687907651812	0.0360190825062267	1.57090897968121	0.0604415102519222	1.52978964671066	31.041	1.0134e-13
"SHANK2 R841X-C"	"SHANK2 R841X"	"SHANK2 R841X"	"AA"	50	50	"sEPSC_Freq"	1.4757804138314	0.208228337854793	4.02828821040952	0.770386356660275	2.72959863991645	9.4017	9.1974e-05
"SHANK2 R841X-C"	"SHANK2 R841X"	"SHANK2 R841X"	"AA"	50	50	"sEPSC_Ampl"	1.03980775179144	0.0494301095154959	1.30086351591433	0.0730140850101417	1.2510615675572	8.2039	0.00024833
