"CTRL_grp_name"	"MUT_grp_name"	"Lawn"	"Growth_Condition"	"CTRL_n"	"MUT_n"	"Variable"	"CTRL_mean"	"CTRL_sem"	"MUT_mean"	"MUT_sem"	"Fold_change"	"t.AD"	"p_val"
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA"	60	60	"sEPSC_Freq"	0.264407051316667	0.0646796569841157	1.14694968663333	0.215685424805086	4.33781807603796	19.37	7.3977e-09
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA"	60	60	"sEPSC_Ampl"	7.71781666666667	0.281866862120033	8.73341666666667	0.305757462032429	1.1315916202553	4.4848	0.0055512
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA+BDNF"	45	45	"sEPSC_Freq"	0.445185185222222	0.0943294341667646	1.19528205133333	0.198591619440716	2.68490976566681	7.6997	0.00035813
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA+BDNF"	45	45	"sEPSC_Ampl"	8.55	0.398502804066025	9.21391111111111	0.392647842351457	1.07765042235218	0.37406	0.2373
"CTRL"	"SHANK2 KO"	"CTRL1"	"AA"	60	60	"sEPSC_Freq"	1.15836580085	0.244147200073074	2.53443589751667	0.665052107493443	2.18794088677076	5.54	0.0022449
"CTRL"	"SHANK2 KO"	"CTRL1"	"AA"	60	60	"sEPSC_Ampl"	11.2855833333333	0.758569446929219	12.1136166666667	0.550209356195448	1.07337089354412	3.5167	0.012602
"CTRL"	"SHANK2 DEL"	"CTRL1"	"AA"	60	60	"sEPSC_Freq"	0.865333333333333	0.133458303023222	2.31507536543333	0.652553419867464	2.67535673971495	1.165	0.10619
"CTRL"	"SHANK2 DEL"	"CTRL1"	"AA"	60	60	"sEPSC_Ampl"	12.9490666666667	0.874454250423007	12.53345	0.632580302142101	0.967903735661772	-0.62201	0.71866
"SHANK2 R841X-C"	"SHANK2 R841X"	"CTRL1"	"AA"	50	50	"sEPSC_Freq"	0.37002804276	0.0567229233792098	1.63486153852	0.227249012181391	4.41820983708624	24.331	6.3367e-11
"SHANK2 R841X-C"	"SHANK2 R841X"	"CTRL1"	"AA"	50	50	"sEPSC_Ampl"	8.48262	0.363092705191478	12.92522	0.533636983764072	1.52372969672106	29.036	6.9398e-13
"SHANK2 R841X-C"	"SHANK2 R841X"	"SHANK2 R841X"	"AA"	50	50	"sEPSC_Freq"	0.40746546546	0.088893372745727	0.78933333332	0.115688062874503	1.93717848561447	8.0491	0.00027791
"SHANK2 R841X-C"	"SHANK2 R841X"	"SHANK2 R841X"	"AA"	50	50	"sEPSC_Ampl"	9.57252	0.576854745795628	11.71756	0.623306894738516	1.22408310455345	7.6845	0.0003622
