"CTRL_grp_name"	"MUT_grp_name"	"Lawn"	"Growth_Condition"	"CTRL_n"	"MUT_n"	"Variable"	"CTRL_mean"	"CTRL_sem"	"MUT_mean"	"MUT_sem"	"Fold_change"	"t.AD"	"p_val"
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA"	96	89	"Syn_Number"	23.90625	1.60284000450571	40.9438202247191	2.63285206526873	1.71268267606668	17.686	3.7233e-08
"CTRL"	"SHANK2 R841X"	"CTRL1"	"AA"	96	89	"Dend_Length"	608.181143378125	29.7103571709703	879.54363657191	42.3603334445797	1.44618695621918	18.435	1.8151e-08
"CTRL"	"SHANK2 KO"	"CTRL1"	"AA"	46	40	"Syn_Number"	16	1.56933168335032	21.7	3.3295876390559	1.35625	1.3032	0.092916
"CTRL"	"SHANK2 KO"	"CTRL1"	"AA"	46	40	"Dend_Length"	699.281641658696	45.154694182439	1018.081819025	102.228689247634	1.45589667792524	3.8109	0.0097973
"CTRL"	"SHANK2 DEL"	"CTRL1"	"AA"	68	74	"Syn_Number"	61.7941176470588	4.77025089499474	87.0945945945946	7.55650487874977	1.40943180210196	3.2454	0.015946
"CTRL"	"SHANK2 DEL"	"CTRL1"	"AA"	68	74	"Dend_Length"	824.783095880882	36.560344047199	876.96706202973	46.4164116422472	1.06326992685648	-0.39019	0.55576
"SHANK2 R841X-C"	"SHANK2 R841X"	"CTRL1"	"AA"	27	22	"Syn_Number"	34.1851851851852	6.10707800956565	48.1363636363636	6.5224538760448	1.40810597852851	2.3102	0.036548
"SHANK2 R841X-C"	"SHANK2 R841X"	"CTRL1"	"AA"	27	22	"Dend_Length"	641.387704122222	60.2521282873228	985.784189590909	80.8718147671799	1.53695523511791	6.6206	0.00090383
"SHANK2 R841X-C"	"SHANK2 R841X"	"SHANK2 R841X"	"AA"	33	40	"Syn_Number"	34.2121212121212	4.16236692747466	57.3	5.85565691863158	1.6748449955713	6.901	0.00070552
"SHANK2 R841X-C"	"SHANK2 R841X"	"SHANK2 R841X"	"AA"	33	40	"Dend_Length"	580.493875384848	44.6236149506943	773.381333575	59.2261153114622	1.33228164218317	2.7496	0.024673
