"exp_ID" "Lawn" "individual" "lineID" "ind_type" "SHANK2_gtype" "ind_desc" "Color" "Family" "wellID" "sEPSC_Ampl" "sEPSC_Freq" "Setup" "growth_condition" "Line" "FamilyType" "ind_desc_paper" "line_desc_paper" "comparison_var" "comparison_label"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 1 0.681599988685605 1.81989716548273 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 1 1.67850813213717 0.0957840658783361 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 1 0.749759987554165 1.62832903372606 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 1 0.937199984442706 1.1494087330696 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 1 1.24391997935123 3.06508995006305 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 0.920159984725566 8.81213361541103 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 0.766799987271305 1.81989716548273 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 1.32911997793693 99.1365032272527 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 0.911708144865865 3.63979431659785 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "2" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 1 1.01394814316871 6.60910021515018 "EXP" "AA" "SK0441-003 #2" "SHANK2 R841X MUT" "R841X" "R841X #2" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 2 0.969362212343784 0.31045324263344 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 2 0.919222787567381 2.6698979164511 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 2 0.919222787567381 4.34634544343615 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 2 1.17820962967909 0.248362599694911 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 2 1.03621477871232 1.1176316846567 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 2 1.25348561941007 15.2772291426577 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 2 1.01121191889049 1.05554103240457 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 2 0.927646210929817 5.65024907553563 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 2 1.38719075214714 10.3691384045437 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0441-003" "5" "MUT" "HET" "SHANK2 R841X" "GFP" "SHANK2 R841X" 2 0.969362212343784 5.15352387614581 "EXP" "AA" "SK0441-003 #5" "SHANK2 R841X MUT" "R841X" "R841X #5" "SHANK2 R841X" "SHANK2 R841X"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 0.97267923413362 3.68875078758849 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 0.759558292691574 0.167670498347387 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 0.991205046150487 1.17369343813056 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
"4" "CTRL1" "SK0019-002" "2" "CTRL" "WT" "CTRL1" "mKate2" "SK0019" 3 1.35238427723134 1.17369343813056 "EXP" "AA" "SK0019-002 #2" "SK0019 CTRL" "CTRL1" "CTRL1 #2" "SHANK2 R841X" "CTRL"
